full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,32,0,0,2
32,8,0,1,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,1
32,20,0,1,0
32,20,0,1,0
32,20,0,1,0
32,20,0,1,1
32,8,0,2,0
32,8,0,2,0
32,8,0,2,0
32,8,0,2,0
32,8,0,2,0
32,8,0,2,1
32,4,0,3,0
32,4,0,3,1
32,0,0,3,0
32,0,0,3,0
32,0,0,3,1
32,0,0,4,1
32,0,0,5,0
32,2,0,4,0
32,0,0,3,1
32,0,0,4,0
32,0,0,4,0
32,3,0,3,1
32,0,0,3,0
32,3,0,3,0
32,14,0,2,0
32,0,0,1,1
32,17,0,2,1
32,8,0,2,0
32,18,0,2,0
32,20,0,1,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,2
32,4,0,2,0
32,4,0,2,1
32,0,0,3,0
32,0,0,3,0
32,0,0,3,0
32,0,0,3,0
32,0,0,3,0
32,0,0,3,0
32,0,0,3,0
32,4,0,2,2
32,8,0,2,0
32,0,0,2,0
32,0,0,2,0
32,0,0,2,0
32,0,0,2,0
32,0,0,2,0
32,0,0,2,0
32,18,0,2,0
32,20,0,1,0
32,20,0,1,2
32,0,0,3,2
32,0,0,4,2
32,0,0,5,1
32,0,0,5,2
32,0,0,7,0
32,2,0,7,0
32,2,0,6,1
32,0,0,5,1
32,3,0,5,1
32,0,0,5,0
32,0,0,4,0
32,0,0,3,2
32,0,0,4,1
32,0,0,4,0
32,0,0,3,1
32,0,0,3,1
32,0,0,4,0
32,0,0,3,0
32,12,0,2,7
32,1,0,6,2
32,4,0,5,0
32,20,0,1,0
32,32,0,0,1
32,20,0,1,0
32,20,0,1,0
32,20,0,1,0
32,32,0,0,1
32,20,0,1,3
32,0,0,4,0
32,2,0,4,1
32,0,0,4,0
32,0,0,4,0
32,2,0,4,1
32,0,0,4,2
32,4,0,5,0
32,2,0,4,0
32,4,0,3,2
32,4,0,5,0
32,4,0,5,0
32,2,0,4,3
32,0,0,5,0
32,0,0,4,0
32,4,0,3,2
32,0,0,4,0
32,4,0,3,0
32,4,0,3,0
32,4,0,3,0
32,6,0,3,0
32,8,0,2,1
32,4,0,3,0
32,8,0,2,0
32,8,0,2,2
32,0,0,3,0
32,16,0,2,0
32,20,0,1,1
32,28,0,1,1
32,20,0,1,2
32,0,0,3,1
32,0,0,4,0
32,0,0,4,0
32,0,0,4,0
32,0,0,4,0
32,0,0,4,0
32,0,0,3,0
32,8,0,2,0
32,8,0,2,1
32,4,0,3,1
32,0,0,4,0
32,0,0,4,0
32,0,0,4,0
32,0,0,4,0
32,2,0,4,0
32,3,0,4,1
32,3,0,4,0
32,8,0,2,0
32,8,0,2,0
32,8,0,2,0
32,8,0,2,0
32,26,0,2,1
32,20,0,1,0
32,20,0,1,0
32,20,0,1,3
32,4,0,2,1
32,8,0,2,0
32,18,0,2,0
32,20,0,1,1
32,8,0,2,0
32,8,0,2,1
32,14,0,3,0
32,20,0,1,0
32,20,0,1,1
32,16,0,2,1
32,4,0,2,0
32,4,0,2,0
32,4,0,2,0
32,4,0,2,1
32,0,0,3,0
32,12,0,2,0
32,20,0,1,3
32,0,0,3,3
32,1,0,5,0
32,0,0,4,0
32,0,0,4,0
32,0,0,4,0
32,1,0,4,0
32,12,0,3,1
32,19,0,2,0
32,20,0,1,0
32,20,0,1,0
32,20,0,1,0
32,20,0,1,0
32,20,0,1,0
32,20,0,1,0
32,20,0,1,0
32,20,0,1,1
32,16,0,2,1
32,4,0,2,2
32,4,0,4,0
32,0,0,3,9
32,0,0,8,0
32,0,0,8,0
32,0,0,8,1
32,3,1,8,0
32,0,0,7,0
32,2,1,6,1
32,2,1,7,1
32,2,1,7,0
32,1,0,6,18
32,8,6,8,0
32,5,3,8,0
32,4,1,9,0
32,0,0,10,0
32,0,0,10,1
32,3,1,10,2
32,5,3,10,0
32,4,1,9,0
32,0,0,10,0
32,2,0,8,1
32,0,0,7,0
32,3,0,5,0
32,2,0,4,0
32,0,0,3,1
32,0,0,4,0
32,0,0,3,1
32,2,0,4,2
32,2,0,5,0
32,0,0,3,0
32,0,0,3,0
32,0,0,3,1
32,9,0,3,0
32,20,0,1,2
32,6,0,2,1
32,0,0,2,1
32,0,0,3,1
32,0,0,4,1
32,0,0,4,1
32,0,0,4,2
32,0,0,6,0
32,0,0,3,1
32,0,0,4,0
32,2,0,3,1
32,0,0,3,0
32,20,0,1,1
32,8,0,2,0
32,8,0,2,0
32,8,0,2,3
32,4,0,4,0
32,0,0,3,0
32,0,0,3,1
32,0,0,3,0
32,0,0,3,0
32,4,0,2,1
32,0,0,3,0
32,0,0,3,12
32,3,2,8,0
32,2,1,8,0
32,2,1,8,0
32,2,1,8,1
32,2,1,9,0
32,2,1,8,0
32,0,0,8,0
32,1,0,7,0
32,2,0,5,0
32,0,0,3,0
32,4,0,2,0
32,8,0,1,0
