name,finish_time_fairness
vit@frgfm#imagenette-0,0.07809
vit@frgfm#imagenette-1,0.11341
vit@frgfm#imagenette-2,0.07565
vit@frgfm#imagenette-3,0.04253
vit@frgfm#imagenette-4,0.15617
vit@frgfm#imagenette-5,0.08506
vit@frgfm#imagenette-6,0.07565
vit@frgfm#imagenette-7,0.12759
vit@frgfm#imagenette-8,0.10412
vit@frgfm#imagenette-9,0.14177
vit@frgfm#imagenette-10,0.07565
vit@frgfm#imagenette-11,0.08506
vit@frgfm#imagenette-12,0.15617
vit@frgfm#imagenette-13,0.08506
vit@frgfm#imagenette-14,0.1513
vit@frgfm#imagenette-15,0.08506
vit@frgfm#imagenette-16,0.15968
vit@frgfm#imagenette-17,0.11341
vit@frgfm#imagenette-18,0.18913
vit@frgfm#imagenette-19,0.08506
vit@frgfm#imagenette-20,0.13014
vit@frgfm#imagenette-21,0.08506
vit@frgfm#imagenette-22,0.1513
vit@frgfm#imagenette-23,0.17012
vit@frgfm#imagenette-24,0.13014
vit@frgfm#imagenette-25,0.08506
vit@frgfm#imagenette-26,0.1513
vit@cifar100-27,0.05422
vit@cifar100-28,0.07522
vit@cifar100-29,0.06449
vit@cifar100-30,0.05641
vit@cifar100-31,0.07886
vit@cifar100-32,0.0591
vit@cifar100-33,0.06449
vit@cifar100-34,0.08865
vit@cifar100-35,0.05914
vit@cifar100-36,0.08059
vit@cifar100-37,0.07166
vit@cifar100-38,0.06447
vit@cifar100-39,0.13307
vit@cifar100-40,0.05373
vit@cifar100-41,0.17197
vit@cifar100-42,0.07253
vit@cifar100-43,0.13716
vit@cifar100-44,0.06984
vit@cifar100-45,0.11465
vit@cifar100-46,0.07253
vit@cifar100-47,0.06407
vit@cifar100-48,0.0591
vit@cifar100-49,0.12181
vit@cifar100-50,0.12088
vit@cifar100-51,0.11336
vit@cifar100-52,0.11282
vit@cifar100-53,0.15048
