name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-large@qnli-0,1280,220,7879.3455929756165,9159.345592975616,1,235674.0,1
roberta-large@sst2-1,1987,113,1516.3455929756165,3503.3455929756165,1,84190.0,2
roberta-large@qnli-2,2634,66,2039.3455929756165,4673.3455929756165,1,235674.0,4
roberta-large@mnli-3,4906,194,3597.3455929756165,8503.345592975616,1,785408.0,8
roberta-large@qqp-4,6003,297,4183.3455929756165,10186.345592975616,1,909620.0,8
roberta-large@mnli-5,6111,189,3592.3455929756165,9703.345592975616,1,785408.0,8
roberta-large@wnli-6,7516,284,385.34559297561646,7901.3455929756165,1,1590.0,1
roberta-large@rte-7,8364,36,248.34559297561646,8612.345592975616,1,4984.0,1
roberta-large@qnli-8,8748,252,4142.3455929756165,12890.345592975616,1,235674.0,2
roberta-large@qnli-9,8768,232,7891.3455929756165,16659.345592975616,1,235674.0,1
roberta-large@rte-10,9147,153,365.34559297561646,9512.345592975616,1,4984.0,1
roberta-large@wnli-11,9538,62,163.34559297561646,9701.345592975616,1,1590.0,1
roberta-large@mrpc-12,9538,62,411.34559297561646,9949.345592975616,1,9170,1
roberta-large@wnli-13,9539,61,162.34559297561646,9701.345592975616,1,1590.0,1
roberta-large@wnli-14,10052,148,249.34559297561646,10301.345592975616,1,1590.0,1
roberta-large@mrpc-15,10462,38,387.34559297561646,10849.345592975616,1,9170,1
roberta-large@sst2-16,10617,183,1586.3455929756165,12203.345592975616,1,84190.0,2
roberta-large@qnli-17,10618,182,4072.3455929756165,14690.345592975616,1,235674.0,2
roberta-large@rte-18,11696,4,216.34559297561646,11912.345592975616,1,4984.0,1
roberta-large@stsb-19,11714,286,751.3455929756165,12465.345592975616,1,12942.0,1
roberta-large@sst2-20,12456,144,382.34559297561646,12838.345592975616,1,84190.0,16
roberta-large@sst2-21,13470,30,766.3455929756165,14236.345592975616,1,84190.0,4
roberta-large@qqp-22,14031,69,3955.3455929756165,17986.345592975616,1,909620.0,8
roberta-large@qqp-23,14109,291,4177.3455929756165,18286.345592975616,1,909620.0,8
roberta-large@sst2-24,14275,125,2881.3455929756165,17156.345592975616,1,84190.0,1
roberta-large@rte-25,16030,170,382.34559297561646,16412.345592975616,1,4984.0,1
roberta-large@mrpc-26,17132,268,617.3455929756165,17749.345592975616,1,9170,1
roberta-large@sst2-27,19137,63,472.34559297561646,19609.345592975616,1,84190.0,8
roberta-large@sst2-28,19137,63,472.34559297561646,19609.345592975616,1,84190.0,8
roberta-large@sst2-29,19247,253,662.3455929756165,19909.345592975616,1,84190.0,8
roberta-large@qnli-30,20006,94,3984.3455929756165,23990.345592975616,1,235674.0,2
roberta-large@stsb-31,21258,42,507.34559297561646,21765.345592975616,1,12942.0,1
roberta-large@sst2-32,21548,52,461.34559297561646,22009.345592975616,1,84190.0,8
roberta-large@qnli-33,21548,52,1095.3455929756165,22643.345592975616,1,235674.0,8
roberta-large@mrpc-34,21891,9,358.34559297561646,22249.345592975616,1,9170,1
roberta-large@qnli-35,22260,240,1283.3455929756165,23543.345592975616,1,235674.0,8
roberta-large@wnli-36,22395,105,206.34559297561646,22601.345592975616,1,1590.0,1
roberta-large@qnli-37,22654,146,1189.3455929756165,23843.345592975616,1,235674.0,8
roberta-large@sst2-38,22654,146,555.3455929756165,23209.345592975616,1,84190.0,8
roberta-large@sst2-39,22655,745,1154.3455929756165,23809.345592975616,1,84190.0,8
roberta-large@sst2-40,22655,1045,1454.3455929756165,24109.345592975616,1,84190.0,8
roberta-large@qnli-41,22655,1345,2388.3455929756165,25043.345592975616,1,235674.0,8
roberta-large@sst2-42,22655,1345,1754.3455929756165,24409.345592975616,1,84190.0,8
roberta-large@sst2-43,22655,1345,1754.3455929756165,24409.345592975616,1,84190.0,8
roberta-large@sst2-44,23166,1134,1543.3455929756165,24709.345592975616,1,84190.0,8
roberta-large@sst2-45,23298,1302,1711.3455929756165,25009.345592975616,1,84190.0,8
roberta-large@qnli-46,23833,767,1810.3455929756165,25643.345592975616,1,235674.0,8
roberta-large@qnli-47,24715,185,7844.3455929756165,32559.345592975616,1,235674.0,1
roberta-large@sst2-48,25326,174,583.3455929756165,25909.345592975616,1,84190.0,8
roberta-large@sst2-49,25475,25,434.34559297561646,25909.345592975616,1,84190.0,8
roberta-large@rte-50,25946,154,366.34559297561646,26312.345592975616,1,4984.0,1
roberta-large@wnli-51,26099,1,102.34559297561646,26201.345592975616,1,1590.0,1
roberta-large@stsb-52,26344,56,521.3455929756165,26865.345592975616,1,12942.0,1
roberta-large@qnli-53,26539,161,7820.3455929756165,34359.34559297562,1,235674.0,1
roberta-large@qnli-54,26857,143,4033.3455929756165,30890.345592975616,1,235674.0,2
roberta-large@qnli-55,27150,150,1193.3455929756165,28343.345592975616,1,235674.0,8
roberta-large@wnli-56,27157,143,244.34559297561646,27401.345592975616,1,1590.0,1
roberta-large@sst2-57,28092,108,517.3455929756165,28609.345592975616,1,84190.0,8
roberta-large@qnli-58,28092,108,1151.3455929756165,29243.345592975616,1,235674.0,8
roberta-large@sst2-59,28093,407,816.3455929756165,28909.345592975616,1,84190.0,8
