name,finish_time_fairness
vit@frgfm#imagenette-0,0.0249
vit@imagenet-split-1-1,0.0116
vit@Bingsu#Cat_and_Dog-2,0.05842
vit@food101-3,0.06229
vit@imagenet-split-0-4,0.02197
vit@Bingsu#Cat_and_Dog-5,0.07408
vit@mnist-6,0.06627
vit@Bingsu#Cat_and_Dog-7,0.05095
vit@imagenet-split-2-8,0.04259
vit@imagenet-split-1-9,0.07294
vit@imagenet-split-2-10,0.04379
vit@imagenet-split-1-11,0.04582
vit@imagenet-split-0-12,0.04908
vit@mnist-13,0.06708
vit@mnist-14,0.06708
vit@imagenet-split-0-15,0.09118
vit@imagenet-split-1-16,0.03654
vit@frgfm#imagenette-17,0.03875
vit@frgfm#imagenette-18,0.05274
vit@frgfm#imagenette-19,0.03989
vit@Bingsu#Cat_and_Dog-20,0.05486
vit@Bingsu#Cat_and_Dog-21,0.04098
vit@mnist-22,0.05861
vit@fashion_mnist-23,0.08059
vit@food101-24,0.03143
vit@food101-25,0.04094
vit@fashion_mnist-26,0.07922
vit@imagenet-split-2-27,0.02751
vit@food101-28,0.03631
vit@fashion_mnist-29,0.01448
vit@mnist-30,0.061
vit@frgfm#imagenette-31,0.03729
vit@mnist-32,0.02641
vit@cifar100-33,0.01865
vit@frgfm#imagenette-34,0.03696
vit@imagenet-split-0-35,0.08558
vit@cifar100-36,0.04424
vit@imagenet-split-1-37,0.02504
vit@cifar100-38,0.03856
vit@imagenet-split-1-39,0.01001
vit@Bingsu#Cat_and_Dog-40,0.04703
vit@cifar100-41,0.03773
vit@mnist-42,0.06551
vit@mnist-43,0.02466
vit@imagenet-split-0-44,0.09076
vit@Bingsu#Cat_and_Dog-45,0.05273
vit@fashion_mnist-46,0.0144
vit@cifar100-47,0.02623
vit@imagenet-split-1-48,0.01509
vit@Bingsu#Cat_and_Dog-49,0.07088
vit@imagenet-split-1-50,0.01904
vit@imagenet-split-1-51,0.01915
vit@cifar100-52,0.02101
vit@imagenet-split-0-53,0.01519
vit@imagenet-split-1-54,0.01245
vit@Bingsu#Cat_and_Dog-55,0.036
vit@imagenet-split-1-56,0.00272
vit@Bingsu#Cat_and_Dog-57,0.03529
vit@cifar100-58,0.0078
vit@imagenet-split-2-59,0.00631
vit@cifar100-60,0.01928
vit@frgfm#imagenette-61,0.04363
vit@Bingsu#Cat_and_Dog-62,0.06447
vit@Bingsu#Cat_and_Dog-63,0.06411
vit@frgfm#imagenette-64,0.05062
vit@frgfm#imagenette-65,0.05371
vit@food101-66,0.00839
vit@frgfm#imagenette-67,0.02458
vit@frgfm#imagenette-68,0.04542
vit@frgfm#imagenette-69,0.04542
vit@frgfm#imagenette-70,0.04542
vit@frgfm#imagenette-71,0.04542
vit@frgfm#imagenette-72,0.06818
vit@frgfm#imagenette-73,0.04395
vit@Bingsu#Cat_and_Dog-74,0.05379
vit@imagenet-split-0-75,0.00424
vit@Bingsu#Cat_and_Dog-76,0.02497
vit@frgfm#imagenette-77,0.04314
vit@mnist-78,0.00634
vit@Bingsu#Cat_and_Dog-79,0.0717
vit@frgfm#imagenette-80,0.05127
vit@Bingsu#Cat_and_Dog-81,0.06518
vit@food101-82,0.04103
vit@imagenet-split-2-83,0.02915
vit@food101-84,0.03848
vit@food101-85,0.04243
vit@imagenet-split-2-86,0.03109
vit@frgfm#imagenette-87,0.04314
vit@fashion_mnist-88,0.02674
vit@frgfm#imagenette-89,0.08379
vit@frgfm#imagenette-90,0.03319
vit@Bingsu#Cat_and_Dog-91,0.04276
vit@frgfm#imagenette-92,0.04574
vit@frgfm#imagenette-93,0.04282
vit@mnist-94,0.02379
vit@frgfm#imagenette-95,0.04948
vit@Bingsu#Cat_and_Dog-96,0.06198
vit@frgfm#imagenette-97,0.04883
vit@Bingsu#Cat_and_Dog-98,0.04668
vit@imagenet-split-2-99,0.03573
vit@Bingsu#Cat_and_Dog-100,0.05557
vit@imagenet-split-1-101,0.02669
vit@frgfm#imagenette-102,0.08407
vit@Bingsu#Cat_and_Dog-103,0.03209
vit@imagenet-split-1-104,0.07844
vit@Bingsu#Cat_and_Dog-105,0.06483
vit@fashion_mnist-106,0.01697
vit@frgfm#imagenette-107,0.02604
vit@fashion_mnist-108,0.01556
vit@imagenet-split-2-109,0.04292
vit@Bingsu#Cat_and_Dog-110,0.03529
vit@food101-111,0.06023
vit@Bingsu#Cat_and_Dog-112,0.06554
vit@food101-113,0.04209
vit@cifar100-114,0.01494
vit@frgfm#imagenette-115,0.04298
vit@imagenet-split-1-116,0.0173
vit@imagenet-split-0-117,0.10646
vit@imagenet-split-1-118,0.01598
vit@fashion_mnist-119,0.08658
vit@Bingsu#Cat_and_Dog-120,0.04988
vit@Bingsu#Cat_and_Dog-121,0.04881
vit@frgfm#imagenette-122,0.03989
vit@frgfm#imagenette-123,0.03973
vit@fashion_mnist-124,0.06929
vit@frgfm#imagenette-125,0.042
vit@frgfm#imagenette-126,0.01612
vit@frgfm#imagenette-127,0.03631
vit@cifar100-128,0.0078
vit@food101-129,0.06059
vit@frgfm#imagenette-130,0.04493
vit@Bingsu#Cat_and_Dog-131,0.03778
vit@food101-132,0.00444
vit@Bingsu#Cat_and_Dog-133,0.05095
vit@food101-134,0.07
vit@Bingsu#Cat_and_Dog-135,0.05593
vit@imagenet-split-2-136,0.06956
vit@Bingsu#Cat_and_Dog-137,0.03387
vit@cifar100-138,0.10643
vit@cifar100-139,0.15989
vit@cifar100-140,0.15698
vit@food101-141,0.06193
vit@cifar100-142,0.15968
vit@imagenet-split-2-143,0.03177
vit@Bingsu#Cat_and_Dog-144,0.10937
vit@fashion_mnist-145,0.14289
vit@imagenet-split-1-146,0.06519
vit@mnist-147,0.04829
vit@imagenet-split-1-148,0.09021
vit@cifar100-149,0.15961
vit@imagenet-split-0-150,0.15803
vit@imagenet-split-0-151,0.21868
vit@fashion_mnist-152,0.05779
vit@frgfm#imagenette-153,0.05488
vit@fashion_mnist-154,0.00829
vit@frgfm#imagenette-155,0.03566
vit@food101-156,0.04156
vit@frgfm#imagenette-157,0.02946
vit@cifar100-158,0.00821
vit@Bingsu#Cat_and_Dog-159,0.03493
vit@fashion_mnist-160,0.00371
vit@frgfm#imagenette-161,0.04298
vit@Bingsu#Cat_and_Dog-162,0.057
vit@fashion_mnist-163,0.07423
vit@imagenet-split-1-164,0.05419
vit@Bingsu#Cat_and_Dog-165,0.05771
vit@imagenet-split-0-166,0.0098
vit@mnist-167,0.18657
vit@fashion_mnist-168,0.448
vit@imagenet-split-1-169,0.32804
vit@mnist-170,0.15187
vit@fashion_mnist-171,0.39166
vit@imagenet-split-1-172,0.13902
vit@cifar100-173,0.43193
vit@fashion_mnist-174,0.39166
vit@imagenet-split-1-175,0.32704
vit@cifar100-176,0.43172
vit@cifar100-177,0.43172
vit@imagenet-split-0-178,0.33702
vit@fashion_mnist-179,0.39149
vit@imagenet-split-0-180,0.33702
vit@imagenet-split-1-181,0.13902
vit@cifar100-182,0.43172
vit@imagenet-split-0-183,0.33702
vit@mnist-184,0.02889
vit@fashion_mnist-185,0.39149
vit@fashion_mnist-186,0.39149
vit@imagenet-split-1-187,0.13902
vit@Bingsu#Cat_and_Dog-188,0.2567
vit@Bingsu#Cat_and_Dog-189,0.17764
vit@Bingsu#Cat_and_Dog-190,0.18054
vit@food101-191,0.14775
vit@cifar100-192,0.30315
vit@frgfm#imagenette-193,0.04442
vit@imagenet-split-1-194,0.36875
vit@mnist-195,0.20582
vit@imagenet-split-1-196,0.04002
vit@cifar100-197,0.35096
vit@imagenet-split-0-198,0.25676
vit@fashion_mnist-199,0.29249
vit@mnist-200,0.22305
vit@imagenet-split-1-201,0.43777
vit@fashion_mnist-202,0.29266
vit@fashion_mnist-203,0.29249
vit@imagenet-split-1-204,0.45277
vit@imagenet-split-1-205,0.45277
vit@cifar100-206,0.35096
vit@mnist-207,0.17953
vit@imagenet-split-0-208,0.25676
vit@cifar100-209,0.35178
vit@imagenet-split-1-210,0.45265
vit@cifar100-211,0.35178
vit@imagenet-split-1-212,0.45265
vit@mnist-213,0.02756
vit@imagenet-split-0-214,0.25646
vit@fashion_mnist-215,0.35003
vit@mnist-216,0.22915
vit@mnist-217,0.10324
vit@cifar100-218,0.35178
vit@imagenet-split-1-219,0.45265
vit@fashion_mnist-220,0.29266
vit@cifar100-221,0.35178
vit@imagenet-split-1-222,0.45265
vit@imagenet-split-1-223,0.46765
vit@cifar100-224,0.35178
vit@imagenet-split-0-225,0.25646
vit@cifar100-226,0.35075
vit@cifar100-227,0.35178
vit@imagenet-split-1-228,0.46765
vit@cifar100-229,0.35075
vit@fashion_mnist-230,0.36938
vit@imagenet-split-0-231,0.26479
vit@fashion_mnist-232,0.3704
vit@imagenet-split-1-233,0.44277
vit@Bingsu#Cat_and_Dog-234,0.09579
vit@frgfm#imagenette-235,0.05677
vit@imagenet-split-1-236,0.40092
vit@mnist-237,0.19861
vit@cifar100-238,0.40164
vit@frgfm#imagenette-239,0.0436
vit@Bingsu#Cat_and_Dog-240,0.09543
vit@fashion_mnist-241,0.33493
vit@mnist-242,0.14226
vit@imagenet-split-0-243,0.29015
vit@cifar100-244,0.38983
vit@imagenet-split-2-245,0.0578
vit@Bingsu#Cat_and_Dog-246,0.11394
vit@imagenet-split-2-247,0.07294
vit@imagenet-split-1-248,0.3204
vit@imagenet-split-0-249,0.04718
vit@frgfm#imagenette-250,0.07745
vit@fashion_mnist-251,0.30547
vit@imagenet-split-1-252,0.04546
vit@cifar100-253,0.07671
vit@mnist-254,0.04595
vit@imagenet-split-1-255,0.24858
vit@imagenet-split-1-256,0.05348
