full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,32,0,0,2
32,8,0,1,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,1
32,28,0,1,0
32,28,0,1,0
32,24,0,1,0
32,20,0,1,1
32,20,0,2,0
32,16,0,2,0
32,12,0,2,0
32,16,0,2,0
32,20,0,2,0
32,12,0,2,1
32,16,0,3,0
32,8,0,3,1
32,0,0,4,0
32,3,0,4,0
32,4,0,3,1
32,0,0,4,1
32,1,0,5,0
32,3,0,5,0
32,0,0,4,1
32,0,0,4,0
32,0,0,4,0
32,0,0,4,1
32,3,0,5,0
32,0,0,3,0
32,4,0,3,0
32,14,0,2,1
32,4,0,2,1
32,1,0,3,0
32,18,0,2,0
32,28,0,1,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,2
32,4,0,2,0
32,8,0,2,1
32,0,0,3,0
32,0,0,3,0
32,0,0,3,0
32,0,0,3,0
32,0,0,3,0
32,0,0,3,0
32,3,0,3,0
32,12,0,2,2
32,1,0,3,0
32,4,0,3,0
32,0,0,3,0
32,4,0,3,0
32,0,0,3,0
32,0,0,3,0
32,1,0,3,0
32,0,0,3,0
32,0,0,3,0
32,0,0,3,2
32,0,0,5,2
32,0,0,6,2
32,3,2,6,1
32,2,0,7,2
32,3,1,8,0
32,3,1,8,0
32,2,1,8,1
32,0,0,9,1
32,0,0,9,1
32,2,1,7,0
32,0,0,6,0
32,0,0,5,2
32,0,0,5,1
32,0,0,6,0
32,1,0,6,1
32,0,0,6,1
32,0,0,4,0
32,0,0,3,0
32,4,0,2,7
32,2,2,5,2
32,2,2,5,0
32,1,0,5,0
32,20,0,1,1
32,28,0,1,0
32,28,0,1,0
32,32,0,0,0
32,32,0,0,1
32,24,0,1,3
32,4,0,4,0
32,0,0,4,1
32,5,0,4,0
32,0,0,4,0
32,3,0,4,1
32,0,0,4,2
32,1,0,5,0
32,0,0,4,0
32,8,0,3,2
32,0,0,5,0
32,5,0,5,0
32,0,0,4,3
32,1,0,5,0
32,0,0,4,0
32,0,0,4,2
32,0,0,4,0
32,21,0,3,0
32,20,0,3,0
32,8,0,3,0
32,0,0,3,0
32,12,0,3,1
32,0,0,4,0
32,4,0,3,0
32,8,0,3,2
32,0,0,4,0
32,3,0,4,0
32,7,0,3,1
32,21,0,2,1
32,25,0,2,2
32,0,0,4,1
32,2,0,5,0
32,1,0,4,0
32,1,0,4,0
32,0,0,4,0
32,0,0,4,0
32,0,0,3,0
32,4,0,3,0
32,4,0,3,1
32,9,0,3,1
32,0,0,4,0
32,0,0,4,0
32,1,0,4,0
32,0,0,4,0
32,0,0,4,0
32,4,0,4,1
32,12,0,4,0
32,16,0,3,0
32,16,0,2,0
32,20,0,2,0
32,16,0,2,0
32,18,0,2,1
32,17,0,2,0
32,16,0,2,0
32,18,0,2,3
32,5,0,3,1
32,9,0,3,0
32,12,0,2,0
32,19,0,2,1
32,8,0,2,0
32,20,0,2,1
32,5,0,3,0
32,19,0,2,0
32,20,0,1,1
32,24,0,2,1
32,4,0,2,0
32,4,0,2,0
32,0,0,2,0
32,13,0,2,1
32,4,0,3,0
32,8,0,2,0
32,18,0,2,3
32,0,0,3,3
32,1,0,5,0
32,0,0,4,0
32,1,0,4,0
32,0,0,4,0
32,0,0,4,0
32,1,0,4,1
32,4,0,3,0
32,0,0,3,0
32,1,0,3,0
32,8,0,2,0
32,24,0,1,0
32,28,0,1,0
32,20,0,1,0
32,28,0,1,0
32,28,0,1,1
32,26,0,2,1
32,7,0,3,2
32,0,0,3,0
32,0,0,2,9
32,2,2,8,0
32,2,1,8,0
32,3,1,8,1
32,4,2,8,0
32,4,2,8,0
32,2,1,8,1
32,5,2,8,1
32,5,3,8,0
32,2,2,8,18
32,0,0,25,0
32,2,1,23,0
32,2,1,22,0
32,0,0,22,0
32,0,0,21,1
32,0,0,21,2
32,0,0,22,0
32,0,0,22,0
32,0,0,20,0
32,0,0,20,1
32,0,0,21,0
32,0,0,21,0
32,0,0,21,0
32,0,0,19,1
32,0,0,20,0
32,0,0,19,1
32,0,0,20,2
32,0,0,21,0
32,0,0,20,0
32,0,0,17,0
32,0,0,16,1
32,0,0,15,0
32,3,1,12,2
32,3,1,11,1
32,3,1,10,1
32,3,1,10,1
32,0,0,12,1
32,0,0,11,1
32,2,1,9,2
32,4,2,8,0
32,1,0,8,1
32,3,1,6,0
32,2,1,6,1
32,0,0,6,0
32,0,0,3,1
32,0,0,4,0
32,0,0,3,0
32,18,0,3,3
32,0,0,4,0
32,0,0,3,0
32,0,0,3,1
32,1,0,4,0
32,0,0,4,0
32,0,0,3,1
32,0,0,3,0
32,0,0,3,12
32,6,5,9,0
32,6,4,9,0
32,6,3,9,0
32,4,2,10,1
32,4,2,11,0
32,5,2,11,0
32,6,3,9,0
32,4,2,10,0
32,6,3,8,0
32,4,2,9,0
32,2,1,10,0
32,3,1,9,0
32,3,1,9,0
32,2,1,8,0
32,2,1,8,0
32,2,0,7,0
32,1,0,6,0
32,0,0,4,0
32,2,0,3,0
32,12,0,2,0
32,20,0,1,0
