name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-base@mrpc-0,45,255,417.39900946617126,462.39900946617126,0,9170,1
roberta-base@qnli-1,786,114,1259.596037864685,2045.596037864685,3,261860,8
roberta-base@qnli-2,1280,220,1365.596037864685,2645.596037864685,3,261860,8
roberta-base@sst2-3,1987,113,1104.596037864685,3091.596037864685,3,168380,8
roberta-base@qnli-4,2634,66,1211.596037864685,3845.596037864685,3,261860,8
roberta-base@qnli-5,2660,40,1185.596037864685,3845.596037864685,3,261860,8
roberta-base@qnli-6,3002,298,1443.596037864685,4445.596037864685,3,261860,8
roberta-base@stsb-7,3459,141,354.39900946617126,3813.3990094661713,0,12942.0,1
roberta-base@rte-8,4072,128,247.39900946617126,4319.399009466171,0,4984.0,1
roberta-base@qnli-9,4853,247,1392.596037864685,6245.596037864685,3,261860,8
roberta-base@mnli-10,4906,194,2066.793066263199,6972.793066263199,6,883584.0,24
roberta-base@qqp-11,6003,297,3091.9900946617126,9094.990094661713,9,909620.0,16
roberta-base@mnli-12,6111,189,2285.793066263199,8396.793066263199,6,883584.0,8
roberta-base@qnli-13,7246,254,1399.596037864685,8645.596037864685,3,261860,8
roberta-base@sst2-14,7328,172,1163.596037864685,8491.596037864685,3,168380,8
roberta-base@wnli-15,7516,284,346.39900946617126,7862.399009466171,0,159.0,1
roberta-base@sst2-16,7774,26,1017.5960378646851,8791.596037864685,3,168380,8
roberta-base@rte-17,8067,33,152.39900946617126,8219.399009466171,0,4984.0,1
roberta-base@sst2-18,8267,133,1124.596037864685,9391.596037864685,3,168380,8
roberta-base@rte-19,8364,36,155.39900946617126,8519.399009466171,0,4984.0,1
roberta-base@stsb-20,8718,282,495.39900946617126,9213.399009466171,0,12942.0,1
roberta-base@qnli-21,8748,252,1397.596037864685,10145.596037864685,3,261860,8
roberta-base@qnli-22,8768,232,1377.596037864685,10145.596037864685,3,261860,8
roberta-base@wnli-23,9147,153,215.39900946617126,9362.399009466171,0,159.0,1
roberta-base@wnli-24,9538,62,124.39900946617126,9662.399009466171,0,159.0,1
roberta-base@mrpc-25,9538,62,224.39900946617126,9762.399009466171,0,9170,1
roberta-base@wnli-26,9538,62,124.39900946617126,9662.399009466171,0,159.0,1
roberta-base@wnli-27,9539,61,123.39900946617126,9662.399009466171,0,159.0,1
roberta-base@qnli-28,9612,288,1733.596037864685,11345.596037864685,3,261860,8
roberta-base@wnli-29,9707,193,255.39900946617126,9962.399009466171,0,159.0,1
roberta-base@wnli-30,10052,148,210.39900946617126,10262.399009466171,0,159.0,1
roberta-base@rte-31,10462,38,157.39900946617126,10619.399009466171,0,4984.0,1
roberta-base@snli-32,10617,183,4183.187123060226,14800.187123060226,13,1373440,10
roberta-base@mnli-33,10618,182,2086.3940567970276,12704.394056797028,5,883584.0,14
roberta-base@rte-34,11194,206,325.39900946617126,11519.399009466171,0,4984.0,1
roberta-base@rte-35,11696,4,123.39900946617126,11819.399009466171,0,4984.0,1
roberta-base@stsb-36,11714,286,499.39900946617126,12213.399009466171,0,12942.0,1
roberta-base@stsb-37,12079,221,434.39900946617126,12513.399009466171,0,12942.0,1
roberta-base@snli-38,12082,218,3921.389104127884,16003.389104127884,10,1373440,6
roberta-base@sst2-39,12456,144,1135.596037864685,13591.596037864685,3,168380,8
roberta-base@stsb-40,13108,92,305.39900946617126,13413.399009466171,0,12942.0,1
roberta-base@rte-41,13468,32,151.39900946617126,13619.399009466171,0,4984.0,1
roberta-base@qnli-42,13470,30,1175.596037864685,14645.596037864685,3,261860,8
roberta-base@wnli-43,13911,189,251.39900946617126,14162.399009466171,0,159.0,1
roberta-base@qqp-44,14031,69,2632.3940567970276,16663.394056797028,5,909620.0,8
roberta-base@qnli-45,14066,34,1179.596037864685,15245.596037864685,3,261860,8
roberta-base@qqp-46,14109,291,2831.793066263199,16940.7930662632,6,909620.0,21
roberta-base@sst2-47,14275,125,1116.596037864685,15391.596037864685,3,168380,8
roberta-base@qnli-48,15165,135,1580.596037864685,16745.596037864685,4,261860,8
roberta-base@sst2-49,15342,258,1249.596037864685,16591.596037864685,3,168380,8
roberta-base@rte-50,16030,170,289.39900946617126,16319.399009466171,0,4984.0,1
roberta-base@mrpc-51,16773,27,189.39900946617126,16962.39900946617,0,9170,1
roberta-base@mrpc-52,17132,268,430.39900946617126,17562.39900946617,0,9170,1
roberta-base@qnli-53,17159,241,1386.596037864685,18545.596037864685,3,261860,8
roberta-base@qqp-54,17263,137,2655.5910851955414,19918.59108519554,8,909620.0,10
roberta-base@wnli-55,18187,113,175.39900946617126,18362.39900946617,0,159.0,1
roberta-base@sst2-56,18254,46,1037.596037864685,19291.596037864685,3,168380,8
roberta-base@rte-57,18835,65,484.39900946617126,19319.39900946617,0,4984.0,1
roberta-base@qnli-58,19136,64,1209.596037864685,20345.596037864685,3,261860,8
roberta-base@qqp-59,19137,63,3003.5910851955414,22140.59108519554,9,909620.0,4
roberta-base@sst2-60,19137,63,1054.596037864685,20191.596037864685,3,168380,8
roberta-base@stsb-61,19211,289,502.39900946617126,19713.39900946617,0,12942.0,1
roberta-base@sst2-62,19247,253,1244.596037864685,20491.596037864685,3,168380,8
roberta-base@sst2-63,19247,253,1244.596037864685,20491.596037864685,3,168380,8
