name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-large@qnli-0,1280,220,1744.0367789268494,3024.0367789268494,3,235674.0,6
roberta-large@sst2-1,1987,113,488.34559297561646,2475.3455929756165,1,84190.0,9
roberta-large@qnli-2,2634,66,1770.3455929756165,4404.3455929756165,1,235674.0,6
roberta-large@mnli-3,4906,194,3484.0367789268494,8390.03677892685,3,785408.0,9
roberta-large@qqp-4,6003,297,5406.764743804932,11409.764743804932,10,909620.0,6
roberta-large@mnli-5,6111,189,4056.7647438049316,10167.764743804932,8,785408.0,5
roberta-large@wnli-6,7516,284,348.34559297561646,7864.3455929756165,1,1590.0,5
roberta-large@rte-7,8364,36,123.34559297561646,8487.345592975616,1,4984.0,8
roberta-large@qnli-8,8748,252,1866.0367789268494,10614.03677892685,3,235674.0,7
roberta-large@qnli-9,8768,232,2014.0367789268494,10782.03677892685,3,235674.0,3
roberta-large@rte-10,9147,153,250.34559297561646,9397.345592975616,1,4984.0,5
roberta-large@wnli-11,9538,662,726.3455929756165,10264.345592975616,1,1590.0,5
roberta-large@mrpc-12,9538,962,1365.3455929756165,10903.345592975616,2,9170,6
roberta-large@wnli-13,9539,961,1030.3455929756165,10569.345592975616,1,1590.0,3
roberta-large@wnli-14,10052,748,825.3455929756165,10877.345592975616,1,1590.0,2
roberta-large@mrpc-15,10462,338,441.34559297561646,10903.345592975616,1,9170,6
roberta-large@sst2-16,10617,183,694.3455929756165,11311.345592975616,1,84190.0,6
roberta-large@qnli-17,10618,482,1817.3823719024658,12435.382371902466,4,235674.0,6
roberta-large@rte-18,11696,4,91.34559297561646,11787.345592975616,1,4984.0,8
roberta-large@stsb-19,11714,286,385.34559297561646,12099.345592975616,1,12942.0,9
roberta-large@sst2-20,12456,144,519.3455929756165,12975.345592975616,1,84190.0,9
roberta-large@sst2-21,13470,30,405.34559297561646,13875.345592975616,1,84190.0,9
roberta-large@qqp-22,14031,69,5051.419150829315,19082.419150829315,7,909620.0,6
roberta-large@qqp-23,14109,291,5271.419150829315,19380.419150829315,7,909620.0,9
roberta-large@sst2-24,14275,125,500.34559297561646,14775.345592975616,1,84190.0,9
roberta-large@rte-25,16030,170,257.34559297561646,16287.345592975616,1,4984.0,8
roberta-large@mrpc-26,17132,268,354.34559297561646,17486.345592975616,1,9170,10
roberta-large@sst2-27,19137,63,438.34559297561646,19575.345592975616,1,84190.0,9
roberta-large@sst2-28,19137,63,438.34559297561646,19575.345592975616,1,84190.0,9
roberta-large@sst2-29,19247,253,628.3455929756165,19875.345592975616,1,84190.0,9
roberta-large@qnli-30,20006,94,1478.691185951233,21484.691185951233,2,235674.0,9
roberta-large@stsb-31,21258,42,734.3455929756165,21992.345592975616,3,12942.0,10
roberta-large@sst2-32,21548,52,529.6911859512329,22077.691185951233,2,84190.0,10
roberta-large@qnli-33,21548,52,1513.7279648780823,23061.727964878082,5,235674.0,1
roberta-large@mrpc-34,21891,309,391.34559297561646,22282.345592975616,1,9170,12
roberta-large@qnli-35,22260,240,2032.0367789268494,24292.03677892685,3,235674.0,6
roberta-large@wnli-36,22395,105,169.34559297561646,22564.345592975616,1,1590.0,5
roberta-large@qnli-37,22654,146,1851.691185951233,24505.691185951233,2,235674.0,6
roberta-large@sst2-38,22654,146,1344.0367789268494,23998.03677892685,3,84190.0,4
roberta-large@sst2-39,22655,145,975.6911859512329,23630.691185951233,2,84190.0,3
roberta-large@sst2-40,22655,145,975.6911859512329,23630.691185951233,2,84190.0,3
roberta-large@qnli-41,22655,145,2140.7279648780823,24795.727964878082,5,235674.0,6
roberta-large@sst2-42,22655,145,975.6911859512329,23630.691185951233,2,84190.0,3
roberta-large@sst2-43,22655,145,1155.3823719024658,23810.382371902466,4,84190.0,4
roberta-large@sst2-44,23166,534,1265.0367789268494,24431.03677892685,3,84190.0,6
roberta-large@sst2-45,23298,702,1301.691185951233,24599.691185951233,2,84190.0,6
roberta-large@qnli-46,23833,767,2086.691185951233,25919.691185951233,2,235674.0,8
roberta-large@qnli-47,24715,185,1498.0367789268494,26213.03677892685,3,235674.0,5
roberta-large@sst2-48,25326,174,583.3455929756165,25909.345592975616,1,84190.0,8
roberta-large@sst2-49,25475,25,434.34559297561646,25909.345592975616,1,84190.0,8
roberta-large@rte-50,25946,154,251.34559297561646,26197.345592975616,1,4984.0,5
roberta-large@wnli-51,26099,1,65.34559297561646,26164.345592975616,1,1590.0,5
roberta-large@stsb-52,26344,56,155.34559297561646,26499.345592975616,1,12942.0,9
roberta-large@qnli-53,26539,161,1701.0367789268494,28240.03677892685,3,235674.0,6
roberta-large@qnli-54,26857,143,1726.3823719024658,28583.382371902466,4,235674.0,7
roberta-large@qnli-55,27150,150,1640.0367789268494,28790.03677892685,3,235674.0,7
roberta-large@wnli-56,27157,143,207.34559297561646,27364.345592975616,1,1590.0,5
roberta-large@sst2-57,28092,108,906.6911859512329,28998.691185951233,2,84190.0,9
roberta-large@qnli-58,28092,408,1632.0367789268494,29724.03677892685,3,235674.0,6
roberta-large@sst2-59,28093,707,1082.3455929756165,29175.345592975616,1,84190.0,9
