name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit-large@frgfm#imagenette-0,45,255,758.1378710269928,803.1378710269928,1,66283.0,1
vit-large@imagenet-split-1-1,92,208,1374.1378710269928,1466.1378710269928,1,749250.0,4
vit-large@food101-2,786,114,3340.137871026993,4126.137871026993,1,757500,2
vit-large@imagenet-split-0-3,1280,220,1996.1378710269928,3276.137871026993,1,250000.0,1
vit-large@imagenet-split-0-4,1987,113,1207.1378710269928,3194.137871026993,1,250000.0,2
vit-large@imagenet-split-1-5,2229,171,912.1378710269928,3141.137871026993,1,749250.0,8
vit-large@imagenet-split-1-6,2634,66,1232.1378710269928,3866.137871026993,1,749250.0,4
vit-large@imagenet-split-0-7,2660,40,1134.1378710269928,3794.137871026993,1,250000.0,2
vit-large@mnist-8,3002,298,1200.1378710269928,4202.137871026993,1,600000.0,8
vit-large@frgfm#imagenette-9,3459,141,644.1378710269928,4103.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-10,3853,47,550.1378710269928,4403.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-11,4072,128,631.1378710269928,4703.137871026993,1,66283.0,1
vit-large@mnist-12,4853,247,1149.1378710269928,6002.137871026993,1,600000.0,8
vit-large@food101-13,4906,194,3420.137871026993,8326.137871026993,1,757500,2
vit-large@fashion_mnist-14,5098,2,904.1378710269928,6002.137871026993,1,600000.0,8
vit-large@imagenet-split-2-15,6003,297,1772.1378710269928,7775.137871026993,1,1000000.0,8
vit-large@food101-16,6111,189,3415.137871026993,9526.137871026993,1,757500,2
vit-large@imagenet-split-0-17,7246,254,1011.1378710269928,8257.137871026993,1,250000.0,4
vit-large@cifar100-18,7246,254,1171.1378710269928,8417.137871026993,1,500000.0,4
vit-large@imagenet-split-1-19,7328,172,1338.1378710269928,8666.137871026993,1,749250.0,4
vit-large@cifar100-20,7430,70,987.1378710269928,8417.137871026993,1,500000.0,4
vit-large@imagenet-split-1-21,7490,10,1176.1378710269928,8666.137871026993,1,749250.0,4
vit-large@cifar100-22,7516,884,3863.137871026993,11379.137871026993,1,500000.0,1
