name,finish_time_fairness
vit-large@Bingsu#Cat_and_Dog-0,0.06418
vit-large@Bingsu#Cat_and_Dog-1,0.07573
vit-large@Bingsu#Cat_and_Dog-2,0.05051
vit-large@Bingsu#Cat_and_Dog-3,0.0284
vit-large@Bingsu#Cat_and_Dog-4,0.11207
vit-large@Bingsu#Cat_and_Dog-5,0.0568
vit-large@Bingsu#Cat_and_Dog-6,0.05051
vit-large@Bingsu#Cat_and_Dog-7,0.0852
vit-large@Bingsu#Cat_and_Dog-8,0.12811
vit-large@Bingsu#Cat_and_Dog-9,0.09466
vit-large@Bingsu#Cat_and_Dog-10,0.05051
vit-large@Bingsu#Cat_and_Dog-11,0.0568
vit-large@Bingsu#Cat_and_Dog-12,0.12811
vit-large@Bingsu#Cat_and_Dog-13,0.0568
vit-large@Bingsu#Cat_and_Dog-14,0.07576
vit-large@Bingsu#Cat_and_Dog-15,0.0568
vit-large@Bingsu#Cat_and_Dog-16,0.06418
vit-large@Bingsu#Cat_and_Dog-17,0.09466
vit-large@Bingsu#Cat_and_Dog-18,0.05051
vit-large@Bingsu#Cat_and_Dog-19,0.1136
vit-large@Bingsu#Cat_and_Dog-20,0.06418
vit-large@Bingsu#Cat_and_Dog-21,0.09466
vit-large@Bingsu#Cat_and_Dog-22,0.07576
vit-large@Bingsu#Cat_and_Dog-23,0.1136
vit-large@Bingsu#Cat_and_Dog-24,0.08022
vit-large@Bingsu#Cat_and_Dog-25,0.07573
vit-large@Bingsu#Cat_and_Dog-26,0.10101
vit-large@fashion_mnist-27,0.03849
vit-large@fashion_mnist-28,0.03786
vit-large@fashion_mnist-29,0.00673
vit-large@fashion_mnist-30,0.00379
vit-large@fashion_mnist-31,0.0663
vit-large@fashion_mnist-32,0.00757
vit-large@fashion_mnist-33,0.00673
vit-large@fashion_mnist-34,0.01136
vit-large@fashion_mnist-35,0.03849
vit-large@fashion_mnist-36,0.03534
vit-large@fashion_mnist-37,0.00673
vit-large@fashion_mnist-38,0.00757
vit-large@fashion_mnist-39,0.08419
vit-large@fashion_mnist-40,0.00757
vit-large@fashion_mnist-41,0.0101
vit-large@fashion_mnist-42,0.00757
vit-large@fashion_mnist-43,0.00855
vit-large@fashion_mnist-44,0.09592
vit-large@fashion_mnist-45,0.00673
vit-large@fashion_mnist-46,0.01515
vit-large@fashion_mnist-47,0.00855
vit-large@fashion_mnist-48,0.0631
vit-large@fashion_mnist-49,0.0101
vit-large@fashion_mnist-50,0.01515
vit-large@fashion_mnist-51,0.05346
vit-large@fashion_mnist-52,0.0101
vit-large@fashion_mnist-53,0.01346
