name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit@frgfm#imagenette-0,45,255,597.1612496376038,642.1612496376038,1,85221.0,1
vit@imagenet-split-1-1,92,208,926.1612496376038,1018.1612496376038,1,750000,4
vit@frgfm#imagenette-2,491,109,451.16124963760376,942.1612496376038,1,85221.0,1
vit@Bingsu#Cat_and_Dog-3,766,134,379.16124963760376,1145.1612496376038,1,63680.0,1
vit@food101-4,786,114,1743.1612496376038,2529.1612496376038,1,757500.0,8
vit@imagenet-split-0-5,1280,220,1081.1612496376038,2361.1612496376038,1,250000.0,1
vit@Bingsu#Cat_and_Dog-6,1322,178,423.16124963760376,1745.1612496376038,1,63680.0,1
vit@mnist-7,1576,224,1521.1612496376038,3097.1612496376038,1,600000.0,8
vit@Bingsu#Cat_and_Dog-8,1747,53,298.16124963760376,2045.1612496376038,1,63680.0,1
vit@imagenet-split-2-9,1987,113,2252.1612496376038,4239.161249637604,1,1000000.0,8
vit@imagenet-split-1-10,2229,171,667.1612496376038,2896.1612496376038,1,750000,8
vit@imagenet-split-2-11,2296,104,2416.1612496376038,4712.161249637604,1,1000000.0,2
vit@food101-12,2296,104,1863.1612496376038,4159.161249637604,1,757500.0,2
vit@mnist-13,2374,26,2224.1612496376038,4598.161249637604,1,600000.0,1
vit@imagenet-split-1-14,2634,66,784.1612496376038,3418.1612496376038,1,750000,4
vit@imagenet-split-2-15,2660,40,2179.1612496376038,4839.161249637604,1,1000000.0,8
vit@mnist-16,3002,298,1595.1612496376038,4597.161249637604,1,600000.0,8
vit@mnist-17,3002,298,1595.1612496376038,4597.161249637604,1,600000.0,8
vit@imagenet-split-0-18,3014,286,577.1612496376038,3591.1612496376038,1,250000.0,4
vit@imagenet-split-1-19,3350,250,968.1612496376038,4318.161249637604,1,750000,4
vit@frgfm#imagenette-20,3459,141,483.16124963760376,3942.1612496376038,1,85221.0,1
vit@frgfm#imagenette-21,3853,47,389.16124963760376,4242.161249637604,1,85221.0,1
