full_resource,free_resource,pending_num,running_num,submit_num
8,8,0,0,54
8,0,46,8,0
8,0,46,8,0
8,0,46,8,0
8,0,46,8,0
8,0,46,8,0
8,0,46,8,0
8,0,46,8,0
8,0,46,8,0
8,0,46,8,0
8,0,44,8,0
8,0,44,8,0
8,0,44,8,0
8,0,44,8,0
8,0,44,8,0
8,0,44,8,0
8,0,44,8,0
8,0,44,8,0
8,0,44,8,0
8,0,38,8,0
8,0,32,8,0
8,0,32,8,0
8,0,32,8,0
8,0,32,8,0
8,0,32,8,0
8,0,32,8,0
8,0,32,8,0
8,0,32,8,0
8,0,32,8,0
8,0,24,8,0
8,0,24,8,0
8,0,24,8,0
8,0,24,8,0
8,0,24,8,0
8,0,24,8,0
8,0,24,8,0
8,0,24,8,0
8,0,25,7,0
8,0,25,7,0
8,0,21,7,0
8,0,21,7,0
8,0,21,7,0
8,0,21,7,0
8,0,19,7,0
8,0,19,7,0
8,0,19,7,0
8,0,19,7,0
8,0,18,7,0
8,0,18,7,0
8,0,18,7,0
8,0,18,7,0
8,0,18,7,0
8,0,18,7,0
8,0,18,7,0
8,0,18,7,0
8,0,18,7,0
8,0,18,7,0
8,1,17,5,0
8,0,17,5,0
8,0,15,5,0
8,0,15,5,0
8,0,15,5,0
8,0,15,5,0
8,0,15,5,0
8,0,13,5,0
8,0,13,5,0
8,0,13,5,0
8,0,13,5,0
8,0,12,5,0
8,0,12,5,0
8,0,12,5,0
8,0,12,5,0
8,0,12,5,0
8,0,11,5,0
8,0,11,5,0
8,1,11,4,0
8,1,11,4,0
8,1,11,4,0
8,1,11,4,0
8,0,10,4,0
8,0,10,4,0
8,0,10,4,0
8,0,10,4,0
8,0,10,4,0
8,0,10,4,0
8,0,10,4,0
8,0,10,4,0
8,0,10,4,0
8,0,5,4,0
8,0,5,4,0
8,0,5,4,0
8,0,5,4,0
8,0,5,4,0
8,0,4,4,0
8,0,4,4,0
8,0,4,4,0
8,0,4,4,0
8,0,4,4,0
8,0,3,4,0
8,0,3,4,0
8,0,3,4,0
8,0,3,4,0
8,0,3,4,0
8,0,3,4,0
8,0,3,4,0
8,0,3,4,0
8,0,3,4,0
8,2,4,3,0
8,2,4,3,0
8,2,4,3,0
8,0,4,3,0
8,0,4,3,0
8,0,4,3,0
8,0,4,3,0
8,0,4,3,0
8,2,4,2,0
8,4,4,1,0
8,4,4,1,0
8,4,4,1,0
8,4,4,1,0
8,4,4,1,0
8,4,4,1,0
8,4,4,1,0
8,4,4,1,0
8,0,2,2,0
8,0,2,2,0
8,0,2,2,0
8,4,2,1,0
8,4,2,1,0
8,4,2,1,0
8,4,2,1,0
8,4,2,1,0
8,0,1,1,0
8,0,1,1,0
8,0,1,1,0
8,0,1,1,0
8,0,1,1,0
8,0,1,1,0
8,0,1,1,0
8,0,1,1,0
8,0,1,1,0
8,0,1,1,0
8,0,1,1,0
8,0,1,1,0
8,0,1,1,0
8,0,1,1,0
8,0,1,1,0
8,0,1,1,0
8,0,1,1,0
8,0,1,1,0
8,0,1,1,0
8,0,1,1,0
8,0,0,1,0
8,0,0,1,0
