name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit@frgfm#imagenette-0,45,255,597.1612496376038,642.1612496376038,1,85221.0,1
vit@imagenet-split-1-1,92,208,926.1612496376038,1018.1612496376038,1,750000,4
vit@Bingsu#Cat_and_Dog-2,766,134,379.16124963760376,1145.1612496376038,1,63680.0,1
vit@food101-3,786,114,1743.1612496376038,2529.1612496376038,1,757500.0,8
vit@imagenet-split-0-4,1280,220,1081.1612496376038,2361.1612496376038,1,250000.0,1
vit@Bingsu#Cat_and_Dog-5,1322,178,423.16124963760376,1745.1612496376038,1,63680.0,1
vit@mnist-6,1576,224,1521.1612496376038,3097.1612496376038,1,600000.0,8
vit@Bingsu#Cat_and_Dog-7,1747,53,298.16124963760376,2045.1612496376038,1,63680.0,1
vit@imagenet-split-2-8,1987,113,2425.1612496376038,4412.161249637604,1,1000000.0,2
vit@imagenet-split-1-9,2229,171,667.1612496376038,2896.1612496376038,1,750000,8
vit@imagenet-split-2-10,2296,104,2416.1612496376038,4712.161249637604,1,1000000.0,2
vit@imagenet-split-1-11,2634,66,784.1612496376038,3418.1612496376038,1,750000,4
vit@imagenet-split-0-12,2660,40,517.1612496376038,3177.1612496376038,1,250000.0,2
vit@mnist-13,3002,298,1595.1612496376038,4597.161249637604,1,600000.0,8
