full_resource,free_resource,pending_num,running_num,submit_num
8,8,0,0,54
8,0,46,8,0
8,0,46,8,0
8,0,46,8,0
8,0,44,8,0
8,0,44,8,0
8,0,44,8,0
8,0,32,8,0
8,0,32,8,0
8,0,32,8,0
8,0,27,7,0
8,0,23,7,0
8,0,24,6,0
8,0,24,6,0
8,0,20,6,0
8,0,20,6,0
8,0,20,6,0
8,0,18,6,0
8,0,18,6,0
8,0,18,6,0
8,0,18,5,0
8,0,18,5,0
8,0,16,5,0
8,0,16,5,0
8,0,16,5,0
8,0,14,5,0
8,0,12,5,0
8,0,12,5,0
8,0,11,5,0
8,0,6,5,0
8,0,6,5,0
8,1,7,4,0
8,1,6,4,0
8,1,6,4,0
8,1,6,4,0
8,1,5,4,0
8,3,5,3,0
8,3,5,3,0
8,3,5,3,0
8,3,5,3,0
8,3,5,3,0
8,5,5,2,0
8,5,5,2,0
8,5,5,2,0
8,5,5,2,0
8,5,5,2,0
8,1,3,3,0
8,1,3,3,0
8,1,3,3,0
8,1,3,3,0
8,1,3,3,0
8,2,4,2,0
8,2,4,2,0
8,2,2,2,0
8,2,2,2,0
8,2,2,2,0
8,2,2,2,0
8,2,2,2,0
8,2,2,2,0
8,2,2,2,0
8,2,2,2,0
8,2,1,2,0
8,5,1,1,0
8,5,1,1,0
8,5,1,1,0
8,5,1,1,0
8,5,0,1,0
8,5,0,1,0
