name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit@frgfm#imagenette-0,45,255,615.3224992752075,660.3224992752075,1,85221.0,2
vit@imagenet-split-1-1,92,208,1278.644998550415,1370.644998550415,3,750000,8
vit@Bingsu#Cat_and_Dog-2,766,134,379.16124963760376,1145.1612496376038,0,63680.0,1
vit@food101-3,786,114,1700.4837489128113,2486.4837489128113,2,757500.0,4
vit@imagenet-split-0-4,1280,220,874.4837489128113,2154.4837489128113,2,250000.0,4
vit@Bingsu#Cat_and_Dog-5,1322,178,423.16124963760376,1745.1612496376038,0,63680.0,1
vit@mnist-6,1576,224,1545.4837489128113,3121.4837489128113,2,600000.0,4
vit@Bingsu#Cat_and_Dog-7,1747,53,298.16124963760376,2045.1612496376038,0,63680.0,1
vit@imagenet-split-2-8,1987,113,2186.644998550415,4173.644998550415,3,1000000.0,5
vit@imagenet-split-1-9,2229,171,1241.644998550415,3470.644998550415,3,750000,8
vit@imagenet-split-2-10,2296,104,2310.1287474632263,4606.128747463226,6,1000000.0,4
vit@imagenet-split-1-11,2634,66,1146.644998550415,3780.644998550415,3,750000,7
vit@imagenet-split-0-12,2660,40,694.4837489128113,3354.4837489128113,2,250000.0,4
vit@mnist-13,3002,298,1678.644998550415,4680.644998550415,3,600000.0,4
vit@mnist-14,3002,298,1619.4837489128113,4621.483748912811,2,600000.0,4
vit@imagenet-split-0-15,3014,286,940.4837489128113,3954.4837489128113,2,250000.0,4
vit@imagenet-split-1-16,3350,250,1320.644998550415,4670.644998550415,3,750000,8
vit@frgfm#imagenette-17,3459,141,501.3224992752075,3960.3224992752075,1,85221.0,2
vit@frgfm#imagenette-18,3853,47,407.3224992752075,4260.3224992752075,1,85221.0,2
vit@frgfm#imagenette-19,4072,128,488.3224992752075,4560.3224992752075,1,85221.0,2
vit@Bingsu#Cat_and_Dog-20,4256,244,489.16124963760376,4745.161249637604,0,63680.0,1
vit@Bingsu#Cat_and_Dog-21,4295,205,450.16124963760376,4745.161249637604,0,63680.0,1
vit@mnist-22,4853,247,1568.4837489128113,6421.483748912811,2,600000.0,4
vit@fashion_mnist-23,4853,247,1214.644998550415,6067.644998550415,3,600000.0,8
vit@food101-24,4906,194,1780.4837489128113,6686.483748912811,2,757500.0,4
vit@food101-25,4906,194,1780.4837489128113,6686.483748912811,2,757500.0,4
vit@fashion_mnist-26,5098,2,969.644998550415,6067.644998550415,3,600000.0,8
vit@imagenet-split-2-27,6003,297,2853.1287474632263,8856.128747463226,6,1000000.0,2
vit@food101-28,6111,189,1848.644998550415,7959.644998550415,3,757500.0,3
vit@fashion_mnist-29,6432,168,1142.644998550415,7574.644998550415,3,600000.0,6
vit@mnist-30,6467,133,1501.644998550415,7968.644998550415,3,600000.0,3
vit@frgfm#imagenette-31,6828,72,432.3224992752075,7260.3224992752075,1,85221.0,2
vit@mnist-32,6858,42,1586.8062481880188,8444.806248188019,4,600000.0,1
vit@cifar100-33,7000,200,1066.4837489128113,8066.483748912811,2,500000.0,4
vit@frgfm#imagenette-34,7190,10,352.16124963760376,7542.161249637604,0,85221.0,1
vit@imagenet-split-0-35,7246,254,889.3224992752075,8135.3224992752075,1,250000.0,2
vit@cifar100-36,7246,254,1120.4837489128113,8366.483748912811,2,500000.0,4
vit@imagenet-split-1-37,7328,172,2130.644998550415,9458.644998550415,3,750000,2
vit@cifar100-38,7430,70,1103.4837489128113,8533.483748912811,2,500000.0,3
vit@imagenet-split-1-39,7490,10,1388.4837489128113,8878.483748912811,2,750000,4
vit@Bingsu#Cat_and_Dog-40,7516,284,529.1612496376038,8045.161249637604,0,63680.0,1
vit@cifar100-41,7670,130,1114.644998550415,8784.644998550415,3,500000.0,2
vit@mnist-42,7719,81,1834.9674978256226,9553.967497825623,5,600000.0,1
vit@mnist-43,7774,26,1952.8062481880188,9726.806248188019,4,600000.0,1
vit@imagenet-split-0-44,7814,586,1481.3224992752075,9295.322499275208,1,250000.0,1
