name,finish_time_fairness
vit@frgfm#imagenette-0,0.0249
vit@imagenet-split-1-1,0.0116
vit@Bingsu#Cat_and_Dog-2,0.05842
vit@food101-3,0.0885
vit@imagenet-split-0-4,0.02197
vit@Bingsu#Cat_and_Dog-5,0.07408
vit@mnist-6,0.08111
vit@Bingsu#Cat_and_Dog-7,0.05095
vit@imagenet-split-2-8,0.04818
vit@imagenet-split-1-9,0.07633
vit@imagenet-split-2-10,0.05223
vit@imagenet-split-1-11,0.04391
vit@imagenet-split-0-12,0.04341
vit@mnist-13,0.07423
vit@mnist-14,0.07429
vit@imagenet-split-0-15,0.08744
vit@imagenet-split-1-16,0.04293
vit@frgfm#imagenette-17,0.03875
vit@frgfm#imagenette-18,0.05222
vit@frgfm#imagenette-19,0.03859
vit@Bingsu#Cat_and_Dog-20,0.05486
vit@Bingsu#Cat_and_Dog-21,0.04098
vit@mnist-22,0.06291
vit@fashion_mnist-23,0.08025
vit@food101-24,0.03374
vit@food101-25,0.04362
vit@fashion_mnist-26,0.07922
vit@imagenet-split-2-27,0.03081
vit@food101-28,0.04067
vit@fashion_mnist-29,0.01524
vit@mnist-30,0.07257
vit@frgfm#imagenette-31,0.03729
vit@mnist-32,0.02938
vit@cifar100-33,0.01865
vit@frgfm#imagenette-34,0.05648
vit@imagenet-split-0-35,0.08558
vit@cifar100-36,0.04424
vit@imagenet-split-1-37,0.02792
vit@cifar100-38,0.043
vit@imagenet-split-1-39,0.01001
vit@Bingsu#Cat_and_Dog-40,0.04703
vit@cifar100-41,0.03714
vit@mnist-42,0.07272
vit@mnist-43,0.02781
vit@imagenet-split-0-44,0.08744
vit@Bingsu#Cat_and_Dog-45,0.05273
vit@fashion_mnist-46,0.0144
vit@cifar100-47,0.00826
vit@imagenet-split-1-48,0.05832
vit@Bingsu#Cat_and_Dog-49,0.06483
vit@imagenet-split-1-50,0.01904
vit@imagenet-split-1-51,0.01299
vit@cifar100-52,0.02192
vit@imagenet-split-0-53,0.01519
vit@imagenet-split-1-54,0.01791
vit@Bingsu#Cat_and_Dog-55,0.036
vit@imagenet-split-1-56,0.00272
vit@Bingsu#Cat_and_Dog-57,0.03529
vit@cifar100-58,0.0078
vit@imagenet-split-2-59,0.00631
vit@cifar100-60,0.01979
vit@frgfm#imagenette-61,0.04363
vit@Bingsu#Cat_and_Dog-62,0.06447
vit@Bingsu#Cat_and_Dog-63,0.06411
vit@frgfm#imagenette-64,0.05062
vit@frgfm#imagenette-65,0.05371
vit@food101-66,0.00842
vit@frgfm#imagenette-67,0.04542
vit@frgfm#imagenette-68,0.04542
vit@frgfm#imagenette-69,0.04412
vit@frgfm#imagenette-70,0.04542
vit@frgfm#imagenette-71,0.04542
vit@frgfm#imagenette-72,0.06818
vit@frgfm#imagenette-73,0.03873
vit@Bingsu#Cat_and_Dog-74,0.05379
vit@imagenet-split-0-75,0.00442
vit@Bingsu#Cat_and_Dog-76,0.02604
vit@frgfm#imagenette-77,0.04314
vit@mnist-78,0.00634
vit@Bingsu#Cat_and_Dog-79,0.0717
vit@frgfm#imagenette-80,0.05127
vit@Bingsu#Cat_and_Dog-81,0.06518
vit@food101-82,0.03764
vit@imagenet-split-2-83,0.02851
vit@food101-84,0.04925
vit@food101-85,0.05236
vit@imagenet-split-2-86,0.04893
vit@frgfm#imagenette-87,0.04314
vit@fashion_mnist-88,0.02674
vit@frgfm#imagenette-89,0.08379
vit@frgfm#imagenette-90,0.03319
vit@Bingsu#Cat_and_Dog-91,0.04276
vit@frgfm#imagenette-92,0.04769
vit@frgfm#imagenette-93,0.04282
vit@mnist-94,0.02947
vit@frgfm#imagenette-95,0.04948
vit@Bingsu#Cat_and_Dog-96,0.06198
vit@frgfm#imagenette-97,0.04883
vit@Bingsu#Cat_and_Dog-98,0.04668
vit@imagenet-split-2-99,0.04428
vit@Bingsu#Cat_and_Dog-100,0.05593
vit@imagenet-split-1-101,0.02687
vit@frgfm#imagenette-102,0.08738
vit@Bingsu#Cat_and_Dog-103,0.03209
vit@imagenet-split-1-104,0.0871
vit@Bingsu#Cat_and_Dog-105,0.06483
vit@fashion_mnist-106,0.01948
vit@frgfm#imagenette-107,0.02653
vit@fashion_mnist-108,0.01586
vit@imagenet-split-2-109,0.05228
vit@Bingsu#Cat_and_Dog-110,0.03529
vit@food101-111,0.07425
vit@Bingsu#Cat_and_Dog-112,0.06554
vit@food101-113,0.04932
vit@cifar100-114,0.01525
vit@frgfm#imagenette-115,0.04298
vit@imagenet-split-1-116,0.01888
vit@imagenet-split-0-117,0.10646
vit@imagenet-split-1-118,0.01652
vit@fashion_mnist-119,0.09446
vit@Bingsu#Cat_and_Dog-120,0.04988
vit@Bingsu#Cat_and_Dog-121,0.04881
vit@frgfm#imagenette-122,0.03989
vit@frgfm#imagenette-123,0.03921
vit@fashion_mnist-124,0.07785
vit@frgfm#imagenette-125,0.042
vit@frgfm#imagenette-126,0.03989
vit@frgfm#imagenette-127,0.01255
vit@cifar100-128,0.00607
vit@food101-129,0.08293
vit@frgfm#imagenette-130,0.0384
vit@Bingsu#Cat_and_Dog-131,0.03778
vit@food101-132,0.00444
vit@Bingsu#Cat_and_Dog-133,0.05095
vit@food101-134,0.08461
vit@Bingsu#Cat_and_Dog-135,0.05593
vit@imagenet-split-2-136,0.08159
vit@Bingsu#Cat_and_Dog-137,0.03387
vit@cifar100-138,0.14801
vit@cifar100-139,0.18268
vit@cifar100-140,0.15636
vit@food101-141,0.0349
vit@cifar100-142,0.17443
vit@imagenet-split-2-143,0.02092
vit@Bingsu#Cat_and_Dog-144,0.07052
vit@fashion_mnist-145,0.15579
vit@imagenet-split-1-146,0.08179
vit@mnist-147,0.07725
vit@imagenet-split-1-148,0.08181
vit@cifar100-149,0.11215
vit@imagenet-split-0-150,0.19833
vit@imagenet-split-0-151,0.19828
vit@fashion_mnist-152,0.03393
vit@frgfm#imagenette-153,0.03661
vit@fashion_mnist-154,0.00802
vit@frgfm#imagenette-155,0.0345
vit@food101-156,0.06496
vit@frgfm#imagenette-157,0.02946
vit@cifar100-158,0.00821
vit@Bingsu#Cat_and_Dog-159,0.03564
vit@fashion_mnist-160,0.00378
vit@frgfm#imagenette-161,0.04298
vit@Bingsu#Cat_and_Dog-162,0.057
vit@fashion_mnist-163,0.07594
vit@imagenet-split-1-164,0.05544
vit@Bingsu#Cat_and_Dog-165,0.05771
vit@imagenet-split-0-166,0.0098
vit@mnist-167,0.08404
vit@fashion_mnist-168,0.22582
vit@imagenet-split-1-169,0.13021
vit@mnist-170,0.10432
vit@fashion_mnist-171,0.24865
vit@imagenet-split-1-172,0.06292
vit@cifar100-173,0.21389
vit@fashion_mnist-174,0.1901
vit@imagenet-split-1-175,0.07781
vit@cifar100-176,0.22929
vit@cifar100-177,0.20869
vit@imagenet-split-0-178,0.18863
vit@fashion_mnist-179,0.19292
vit@imagenet-split-0-180,0.15252
vit@imagenet-split-1-181,0.37931
vit@cifar100-182,0.22929
vit@imagenet-split-0-183,0.18863
vit@mnist-184,0.15409
vit@fashion_mnist-185,0.18992
vit@fashion_mnist-186,0.18992
vit@imagenet-split-1-187,0.07781
vit@Bingsu#Cat_and_Dog-188,0.08588
vit@Bingsu#Cat_and_Dog-189,0.08232
vit@Bingsu#Cat_and_Dog-190,0.09513
vit@food101-191,0.0677
vit@cifar100-192,0.30335
vit@frgfm#imagenette-193,0.0384
vit@imagenet-split-1-194,0.51988
vit@mnist-195,0.16392
vit@imagenet-split-1-196,0.25294
vit@cifar100-197,0.35198
vit@imagenet-split-0-198,0.26712
vit@fashion_mnist-199,0.34649
vit@mnist-200,0.17251
vit@imagenet-split-1-201,0.22085
vit@fashion_mnist-202,0.3502
vit@fashion_mnist-203,0.3482
vit@imagenet-split-1-204,0.11077
vit@imagenet-split-1-205,0.34635
vit@cifar100-206,0.35198
vit@mnist-207,0.17318
vit@imagenet-split-0-208,0.26884
vit@cifar100-209,0.35178
vit@imagenet-split-1-210,0.35192
vit@cifar100-211,0.35178
vit@imagenet-split-1-212,0.11065
vit@mnist-213,0.18708
vit@imagenet-split-0-214,0.26853
vit@fashion_mnist-215,0.35003
vit@mnist-216,0.18759
vit@mnist-217,0.17984
vit@cifar100-218,0.35178
vit@imagenet-split-1-219,0.37364
vit@fashion_mnist-220,0.35003
vit@cifar100-221,0.33736
vit@imagenet-split-1-222,0.1109
vit@imagenet-split-1-223,0.03429
vit@cifar100-224,0.35178
vit@imagenet-split-0-225,0.25646
vit@cifar100-226,0.35178
vit@cifar100-227,0.34938
vit@imagenet-split-1-228,0.37406
vit@cifar100-229,0.35178
vit@fashion_mnist-230,0.34218
vit@imagenet-split-0-231,0.26823
vit@fashion_mnist-232,0.34986
vit@imagenet-split-1-233,0.04002
vit@Bingsu#Cat_and_Dog-234,0.09579
vit@frgfm#imagenette-235,0.04461
vit@imagenet-split-1-236,0.34246
vit@mnist-237,0.15626
vit@cifar100-238,0.36279
vit@frgfm#imagenette-239,0.0636
vit@Bingsu#Cat_and_Dog-240,0.09508
vit@fashion_mnist-241,0.28279
vit@mnist-242,0.17027
vit@imagenet-split-0-243,0.29187
vit@cifar100-244,0.33911
vit@imagenet-split-2-245,0.07601
vit@Bingsu#Cat_and_Dog-246,0.11394
vit@imagenet-split-2-247,0.04218
vit@imagenet-split-1-248,0.37262
vit@imagenet-split-0-249,0.0505
vit@frgfm#imagenette-250,0.05387
vit@fashion_mnist-251,0.05673
vit@imagenet-split-1-252,0.04819
vit@cifar100-253,0.04567
vit@mnist-254,0.03514
vit@imagenet-split-1-255,0.19008
