full_resource,free_resource,pending_num,running_num,submit_num
48,48,0,0,0
48,43,0,2,2
48,43,0,2,0
48,35,0,3,2
48,36,0,2,0
48,38,0,3,2
48,39,0,2,0
48,37,0,3,1
48,29,0,4,1
48,23,0,6,2
48,23,0,6,0
48,12,0,7,3
48,11,0,8,1
48,22,0,7,1
48,26,0,6,1
48,42,0,4,1
48,44,0,2,0
48,10,0,7,5
48,12,0,6,0
48,12,0,6,0
48,14,0,5,0
48,34,0,4,2
48,26,0,5,1
48,26,0,5,0
48,25,0,6,1
48,5,0,11,5
48,4,0,13,4
48,5,0,16,4
48,6,0,16,4
48,23,0,11,0
48,22,0,13,5
48,22,0,13,2
48,15,0,18,8
48,16,0,17,2
48,23,0,10,1
48,30,0,10,1
48,27,0,11,4
48,28,0,9,1
48,24,0,11,3
48,27,0,9,1
48,31,0,7,1
48,22,0,9,3
48,15,0,8,2
48,18,0,5,0
48,33,0,5,1
48,28,0,7,3
48,34,0,7,1
48,37,0,6,3
48,28,0,8,3
48,32,0,7,0
48,33,0,6,0
48,25,0,7,1
48,16,0,9,2
48,16,0,9,0
48,14,0,11,2
48,24,0,8,0
48,31,0,8,1
48,27,0,6,1
48,26,0,7,5
48,25,0,8,1
48,27,0,6,1
48,28,0,5,2
48,28,0,5,1
48,28,0,5,1
48,5,1,7,5
48,4,7,8,7
48,3,7,9,2
48,1,3,10,2
48,0,3,11,2
48,1,3,10,0
48,1,0,10,0
48,7,1,11,4
48,0,15,11,16
48,0,16,11,1
48,0,14,11,0
48,0,13,12,2
48,1,38,11,27
48,0,37,12,2
48,4,41,9,7
48,5,38,8,1
48,0,39,6,2
48,0,39,6,1
48,0,39,6,3
48,0,42,6,4
48,0,43,6,2
48,0,44,6,3
48,0,43,6,2
48,0,48,6,6
48,0,50,6,2
48,0,50,6,3
48,0,48,6,1
48,0,51,6,3
48,0,50,6,2
48,0,51,6,1
48,0,67,6,19
48,0,67,6,1
48,0,66,6,1
48,0,64,6,0
48,0,62,6,0
48,0,60,6,0
48,0,59,6,0
48,0,51,12,0
48,0,50,12,0
48,0,47,12,0
48,0,39,19,0
48,8,42,11,0
48,0,32,19,0
48,4,31,15,0
48,2,25,19,0
48,4,24,17,0
48,4,22,17,0
48,5,22,16,0
48,13,22,12,0
48,8,19,11,0
48,8,19,11,0
48,8,19,11,0
48,1,15,10,0
48,1,13,10,0
48,3,13,8,0
48,5,13,7,0
48,0,8,6,0
48,0,8,6,0
48,0,8,6,0
48,0,5,6,0
48,6,2,6,0
48,6,2,6,0
48,8,0,5,0
48,32,0,2,0
48,40,0,1,0
48,48,0,0,0
