full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,31,0,1,1
32,32,0,0,0
32,30,0,1,1
32,30,0,1,0
32,29,0,2,1
32,29,0,2,0
32,27,0,3,1
32,27,0,3,0
32,23,0,4,2
32,23,0,4,0
32,17,0,4,1
32,20,0,4,1
32,29,0,2,0
32,28,0,3,1
32,32,0,0,0
32,32,0,0,0
32,22,0,2,2
32,22,0,2,0
32,30,0,1,0
32,30,0,1,0
32,12,0,3,2
32,12,0,3,0
32,12,0,3,0
32,12,0,3,0
32,4,0,5,2
32,18,0,6,2
32,22,0,5,1
32,25,0,5,2
32,26,0,4,0
32,22,0,7,3
32,22,0,7,1
32,19,0,10,4
32,22,0,7,2
32,24,0,6,1
32,25,0,5,1
32,12,0,5,2
32,12,0,5,0
32,12,0,5,1
32,13,0,5,1
32,14,0,4,1
32,14,0,4,2
32,7,1,3,1
32,16,0,2,0
32,15,0,3,1
32,11,0,4,2
32,12,0,3,0
32,10,0,5,3
32,6,0,5,2
32,6,0,5,0
32,6,0,5,0
32,6,0,5,1
32,5,0,6,1
32,13,0,5,0
32,20,0,5,1
32,30,0,2,0
32,29,0,3,1
32,31,0,1,0
32,26,0,4,3
32,28,0,2,0
32,28,0,2,0
32,25,0,4,2
32,26,0,3,0
32,25,0,4,1
32,10,0,5,3
32,3,1,6,3
32,12,0,4,0
32,12,0,4,1
32,20,0,3,0
32,20,0,3,0
32,20,0,3,0
32,19,0,4,1
32,3,2,6,6
32,2,2,7,1
32,11,0,5,0
32,2,0,7,2
32,5,11,5,13
32,5,10,5,0
32,5,11,5,3
32,5,10,5,0
32,5,9,5,1
32,5,8,5,0
32,0,7,4,2
32,0,8,4,2
32,0,6,4,1
32,0,7,4,2
32,3,1,8,1
32,1,0,10,3
32,19,0,6,1
32,27,0,5,1
32,25,0,6,1
32,8,0,9,3
32,1,0,9,1
32,19,0,5,1
32,3,5,7,8
32,3,5,7,0
32,7,3,4,1
32,7,3,4,0
32,7,0,4,0
32,7,0,4,0
32,32,0,0,0
