name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit-large@frgfm#imagenette-0,45,255,758.1378710269928,803.1378710269928,1,66283.0,1
vit-large@imagenet-split-1-1,92,208,1674.1378710269928,1766.1378710269928,1,749250.0,4
vit-large@food101-2,786,114,3640.137871026993,4426.137871026993,1,757500,2
vit-large@imagenet-split-0-3,1280,220,1996.1378710269928,3276.137871026993,1,250000.0,1
vit-large@imagenet-split-0-4,1987,113,1207.1378710269928,3194.137871026993,1,250000.0,2
vit-large@imagenet-split-1-5,2229,171,912.1378710269928,3141.137871026993,1,749250.0,8
vit-large@imagenet-split-1-6,2634,66,1532.1378710269928,4166.137871026993,1,749250.0,4
vit-large@imagenet-split-0-7,2660,40,1734.1378710269928,4394.137871026993,1,250000.0,2
vit-large@mnist-8,3002,298,1200.1378710269928,4202.137871026993,1,600000.0,8
vit-large@frgfm#imagenette-9,3459,141,644.1378710269928,4103.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-10,3853,47,1150.1378710269928,5003.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-11,4072,128,631.1378710269928,4703.137871026993,1,66283.0,1
vit-large@mnist-12,4853,247,1449.1378710269928,6302.137871026993,1,600000.0,8
vit-large@food101-13,4906,194,3420.137871026993,8326.137871026993,1,757500,2
vit-large@fashion_mnist-14,5098,2,904.1378710269928,6002.137871026993,1,600000.0,8
vit-large@imagenet-split-2-15,6003,297,2072.137871026993,8075.137871026993,1,1000000.0,8
vit-large@food101-16,6111,189,3415.137871026993,9526.137871026993,1,757500,2
vit-large@imagenet-split-0-17,7246,254,1011.1378710269928,8257.137871026993,1,250000.0,4
vit-large@cifar100-18,7246,254,1171.1378710269928,8417.137871026993,1,500000.0,4
vit-large@imagenet-split-1-19,7328,172,1338.1378710269928,8666.137871026993,1,749250.0,4
vit-large@cifar100-20,7430,70,987.1378710269928,8417.137871026993,1,500000.0,4
vit-large@imagenet-split-1-21,7490,10,1176.1378710269928,8666.137871026993,1,749250.0,4
vit-large@cifar100-22,7516,584,4163.137871026993,11679.137871026993,1,500000.0,1
vit-large@cifar100-23,7670,430,1647.1378710269928,9317.137871026993,1,500000.0,4
vit-large@mnist-24,7719,681,1772.1378710269928,9491.137871026993,1,600000.0,4
vit-large@mnist-25,7774,326,3892.137871026993,11666.137871026993,1,600000.0,1
vit-large@Bingsu#Cat_and_Dog-26,8067,33,263.1378710269928,8330.137871026993,1,31680.0,1
vit-large@imagenet-split-1-27,8267,133,5475.137871026993,13742.137871026993,1,749250.0,1
vit-large@Bingsu#Cat_and_Dog-28,8364,36,266.1378710269928,8630.137871026993,1,31680.0,1
vit-large@fashion_mnist-29,8718,282,4448.137871026993,13166.137871026993,1,600000.0,1
vit-large@cifar100-30,8748,252,2454.137871026993,11202.137871026993,1,500000.0,2
vit-large@cifar100-31,8768,232,3211.137871026993,11979.137871026993,1,500000.0,1
vit-large@frgfm#imagenette-32,9026,274,1077.1378710269928,10103.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-33,9147,153,656.1378710269928,9803.137871026993,1,66283.0,1
vit-large@food101-34,9491,2809,5990.413613080978,15481.413613080978,4,757500,8
vit-large@frgfm#imagenette-35,9538,62,565.1378710269928,10103.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-36,9538,62,865.1378710269928,10403.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-37,9538,62,565.1378710269928,10103.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-38,9538,62,565.1378710269928,10103.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-39,9539,61,564.1378710269928,10103.137871026993,1,66283.0,1
vit-large@Bingsu#Cat_and_Dog-40,9539,61,291.1378710269928,9830.137871026993,1,31680.0,1
