name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit-large@frgfm#imagenette-0,45,150,228.1378710269928,198.1378710269928,1,66283.0,1
vit-large@imagenet-split-1-1,92,103,181.1378710269928,245.1378710269928,1,749250.0,4
vit-large@food101-2,786,54,2642.4136130809784,3428.4136130809784,3,757500,1
vit-large@imagenet-split-0-3,1280,40,998.1378710269928,2278.137871026993,1,250000.0,12
vit-large@imagenet-split-0-4,1987,53,970.5514841079712,2957.551484107971,4,250000.0,2
vit-large@imagenet-split-1-5,2229,51,622.4136130809784,2851.4136130809784,3,749250.0,8
vit-large@imagenet-split-1-6,2634,6,683.5514841079712,3317.551484107971,4,749250.0,12
vit-large@imagenet-split-0-7,2660,100,1038.5514841079712,3698.551484107971,4,250000.0,1
vit-large@mnist-8,3002,118,1049.5514841079712,4051.551484107971,4,600000.0,3
vit-large@frgfm#imagenette-9,3459,21,358.2757420539856,3817.2757420539856,2,66283.0,2
vit-large@frgfm#imagenette-10,3853,107,444.2757420539856,4297.275742053986,2,66283.0,2
vit-large@frgfm#imagenette-11,4072,8,295.1378710269928,4367.137871026993,1,66283.0,12
vit-large@mnist-12,4853,67,1130.9650971889496,5983.96509718895,7,600000.0,4
vit-large@food101-13,4906,14,2728.551484107971,7634.551484107971,4,757500,4
vit-large@fashion_mnist-14,5098,62,1009.689355134964,6107.689355134964,5,600000.0,16
vit-large@imagenet-split-2-15,6003,126,1042.4136130809784,6928.413613080978,3,1000000.0,8
vit-large@food101-16,6111,18,934.4136130809784,7036.413613080978,3,757500,2
vit-large@imagenet-split-0-17,7246,74,893.2757420539856,8139.275742053986,2,250000.0,2
vit-large@cifar100-18,7246,74,1110.8272261619568,8356.827226161957,6,500000.0,1
vit-large@imagenet-split-1-19,7328,122,710.4136130809784,7926.413613080978,3,749250.0,4
vit-large@cifar100-20,7430,20,608.4136130809784,8028.413613080978,3,500000.0,4
vit-large@imagenet-split-1-21,7490,114,713.4136130809784,8133.413613080978,3,749250.0,4
vit-large@cifar100-22,7516,88,687.4136130809784,8159.413613080978,3,500000.0,1
vit-large@cifar100-23,7670,10,915.4136130809784,8585.413613080978,3,500000.0,8
vit-large@mnist-24,7719,81,1227.5514841079712,8946.551484107971,4,600000.0,8
vit-large@mnist-25,7774,26,1083.4136130809784,8857.413613080978,3,600000.0,4
vit-large@Bingsu#Cat_and_Dog-26,8067,93,184.1378710269928,8251.137871026993,1,31680.0,4
vit-large@imagenet-split-1-27,8267,13,787.4136130809784,9054.413613080978,3,749250.0,8
vit-large@Bingsu#Cat_and_Dog-28,8364,36,127.1378710269928,8491.137871026993,1,31680.0,4
vit-large@fashion_mnist-29,8718,54,758.689355134964,9434.689355134964,5,600000.0,1
vit-large@cifar100-30,8748,24,728.689355134964,9464.689355134964,5,500000.0,2
vit-large@cifar100-31,8768,112,933.5514841079712,9701.551484107971,4,500000.0,4
vit-large@frgfm#imagenette-32,9026,94,327.1378710269928,9353.137871026993,1,66283.0,4
vit-large@frgfm#imagenette-33,9147,93,431.4136130809784,9578.413613080978,3,66283.0,4
vit-large@food101-34,9491,171,410.2757420539856,9792.275742053986,2,757500,8
vit-large@frgfm#imagenette-35,9538,62,295.1378710269928,9833.137871026993,1,66283.0,4
vit-large@frgfm#imagenette-36,9538,124,363.2757420539856,9839.275742053986,2,66283.0,1
vit-large@frgfm#imagenette-37,9538,123,214.1378710269928,9690.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-38,9538,62,415.4136130809784,9953.413613080978,3,66283.0,12
vit-large@frgfm#imagenette-39,9539,61,294.1378710269928,9833.137871026993,1,66283.0,4
vit-large@Bingsu#Cat_and_Dog-40,9539,122,213.1378710269928,9691.137871026993,1,31680.0,1
vit-large@imagenet-split-0-41,9612,121,212.1378710269928,9716.137871026993,1,250000.0,1
vit-large@Bingsu#Cat_and_Dog-42,9707,26,117.1378710269928,9811.137871026993,1,31680.0,1
vit-large@frgfm#imagenette-43,10052,28,315.1378710269928,10367.137871026993,1,66283.0,12
vit-large@frgfm#imagenette-44,10462,98,435.2757420539856,10897.275742053986,2,66283.0,2
vit-large@food101-45,10617,63,3119.6544523239136,13736.654452323914,12,757500,4
vit-large@food101-46,10618,62,3201.6544523239136,13819.654452323914,12,757500,12
vit-large@food101-47,10618,62,2430.551484107971,13048.551484107971,4,757500,2
vit-large@frgfm#imagenette-48,10835,85,422.2757420539856,11257.275742053986,2,66283.0,2
vit-large@frgfm#imagenette-49,11194,86,423.2757420539856,11617.275742053986,2,66283.0,2
vit-large@frgfm#imagenette-50,11370,60,151.1378710269928,11491.137871026993,1,66283.0,2
vit-large@Bingsu#Cat_and_Dog-51,11370,60,151.1378710269928,11491.137871026993,1,31680.0,1
vit-large@frgfm#imagenette-52,11696,64,401.2757420539856,12097.275742053986,2,66283.0,2
vit-large@frgfm#imagenette-53,11714,46,279.1378710269928,11993.137871026993,1,66283.0,4
vit-large@frgfm#imagenette-54,12033,87,320.1378710269928,12353.137871026993,1,66283.0,4
vit-large@Bingsu#Cat_and_Dog-55,12079,82,144.1378710269928,12182.137871026993,1,31680.0,1
