name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-base@mrpc-0,45,255,417.39900946617126,462.39900946617126,1,9170,1
roberta-base@sst2-1,92,208,738.3990094661713,830.3990094661713,1,168380,4
roberta-base@rte-2,766,134,253.39900946617126,1019.3990094661713,1,4984.0,1
roberta-base@snli-3,786,114,7903.399009466171,8689.399009466171,1,1373440,2
roberta-base@qnli-4,1280,220,3184.3990094661713,4464.399009466171,1,261860,1
roberta-base@qqp-5,1987,113,1577.3990094661713,3564.3990094661713,1,909620.0,16
roberta-base@sst2-6,2229,171,509.39900946617126,2738.3990094661713,1,168380,8
roberta-base@qnli-7,2634,66,857.3990094661713,3491.3990094661713,1,261860,4
roberta-base@qnli-8,2660,340,1873.3990094661713,4533.399009466171,1,261860,2
roberta-base@qnli-9,3002,598,1090.3990094661713,4092.3990094661713,1,261860,8
roberta-base@sst2-10,3002,598,936.3990094661713,3938.3990094661713,1,168380,8
roberta-base@sst2-11,3014,286,816.3990094661713,3830.3990094661713,1,168380,4
roberta-base@mrpc-12,3459,141,303.39900946617126,3762.3990094661713,1,9170,1
roberta-base@wnli-13,3853,47,109.39900946617126,3962.3990094661713,1,159.0,1
roberta-base@rte-14,4072,128,247.39900946617126,4319.399009466171,1,4984.0,1
roberta-base@qnli-15,4853,247,739.3990094661713,5592.399009466171,1,261860,8
roberta-base@mnli-16,4906,194,1615.3990094661713,6521.399009466171,1,883584.0,8
roberta-base@qqp-17,4906,194,5373.399009466171,10279.399009466171,1,909620.0,2
roberta-base@sst2-18,5098,2,340.39900946617126,5438.399009466171,1,168380,8
roberta-base@qqp-19,6003,297,2147.3990094661713,8150.399009466171,1,909620.0,8
roberta-base@mnli-20,6111,189,1610.3990094661713,7721.399009466171,1,883584.0,8
roberta-base@sst2-21,6467,133,471.39900946617126,6938.399009466171,1,168380,8
roberta-base@qnli-22,7246,854,1645.3990094661713,8891.399009466171,1,261860,4
roberta-base@sst2-23,7246,254,784.3990094661713,8030.399009466171,1,168380,4
roberta-base@sst2-24,7328,172,702.3990094661713,8030.399009466171,1,168380,4
roberta-base@qnli-25,7430,670,1461.3990094661713,8891.399009466171,1,261860,4
roberta-base@sst2-26,7490,10,540.3990094661713,8030.399009466171,1,168380,4
roberta-base@sst2-27,7516,584,2512.3990094661713,10028.399009466171,1,168380,1
roberta-base@sst2-28,7670,130,660.3990094661713,8330.399009466171,1,168380,4
roberta-base@sst2-29,7719,81,611.3990094661713,8330.399009466171,1,168380,4
roberta-base@qnli-30,7774,326,3290.3990094661713,11064.399009466171,1,261860,1
roberta-base@rte-31,8067,33,152.39900946617126,8219.399009466171,1,4984.0,1
roberta-base@qnli-32,8264,136,3100.3990094661713,11364.399009466171,1,261860,1
roberta-base@sst2-33,8267,133,2061.3990094661713,10328.399009466171,1,168380,1
roberta-base@rte-34,8364,36,155.39900946617126,8519.399009466171,1,4984.0,1
roberta-base@qnli-35,8718,282,3246.3990094661713,11964.399009466171,1,261860,1
roberta-base@qnli-36,8748,252,1785.3990094661713,10533.399009466171,1,261860,2
roberta-base@qnli-37,8768,232,3196.3990094661713,11964.399009466171,1,261860,1
roberta-base@mrpc-38,9026,274,436.39900946617126,9462.399009466171,1,9170,1
