name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-base@mrpc-0,45,255,326.39900946617126,371.39900946617126,1,9170,14
roberta-base@qnli-1,786,114,762.3990094661713,1548.3990094661713,1,261860,16
roberta-base@qnli-2,1280,220,568.3990094661713,1848.3990094661713,1,261860,16
roberta-base@sst2-3,1987,113,358.39900946617126,2345.3990094661713,1,168380,16
roberta-base@qnli-4,2634,66,414.39900946617126,3048.3990094661713,1,261860,16
roberta-base@qnli-5,2660,40,388.39900946617126,3048.3990094661713,1,261860,16
roberta-base@qnli-6,3002,298,1151.7980189323425,4153.7980189323425,3,261860,16
roberta-base@stsb-7,3459,141,252.39900946617126,3711.3990094661713,1,12942.0,4
roberta-base@rte-8,4072,128,208.39900946617126,4280.399009466171,1,4984.0,4
roberta-base@qnli-9,4853,247,595.3990094661713,5448.399009466171,1,261860,16
roberta-base@mnli-10,4906,194,1168.1970283985138,6074.197028398514,3,883584.0,3
roberta-base@qqp-11,6003,297,2039.596037864685,8042.596037864685,4,909620.0,8
roberta-base@mnli-12,6111,189,1087.3990094661713,7198.399009466171,1,883584.0,16
roberta-base@qnli-13,7246,254,753.7980189323425,7999.7980189323425,2,261860,8
roberta-base@sst2-14,7328,472,1302.3990094661713,8630.399009466171,2,168380,4
roberta-base@wnli-15,7516,284,645.3990094661713,8161.399009466171,2,159.0,4
roberta-base@sst2-16,7774,26,490.79801893234253,8264.798018932343,2,168380,4
roberta-base@rte-17,8067,33,113.39900946617126,8180.399009466171,1,4984.0,4
roberta-base@sst2-18,8267,133,929.7980189323425,9196.798018932343,3,168380,8
roberta-base@rte-19,8364,36,116.39900946617126,8480.399009466171,1,4984.0,4
roberta-base@stsb-20,8718,282,393.39900946617126,9111.399009466171,1,12942.0,8
roberta-base@qnli-21,8748,252,1267.7980189323425,10015.798018932343,2,261860,2
roberta-base@qnli-22,8768,232,1547.7980189323425,10315.798018932343,2,261860,2
roberta-base@wnli-23,9147,153,514.3990094661713,9661.399009466171,1,159.0,2
roberta-base@wnli-24,9538,62,123.39900946617126,9661.399009466171,1,159.0,2
roberta-base@mrpc-25,9538,62,474.39900946617126,10012.399009466171,1,9170,2
roberta-base@wnli-26,9538,62,123.39900946617126,9661.399009466171,1,159.0,2
roberta-base@wnli-27,9539,61,122.39900946617126,9661.399009466171,1,159.0,2
roberta-base@qnli-28,9612,288,1352.1970283985138,10964.197028398514,3,261860,12
roberta-base@wnli-29,9707,193,254.39900946617126,9961.399009466171,1,159.0,2
roberta-base@wnli-30,10052,148,209.39900946617126,10261.399009466171,1,159.0,2
roberta-base@rte-31,10462,38,118.39900946617126,10580.399009466171,1,4984.0,4
roberta-base@snli-32,10617,183,4008.5910851955414,14625.591085195541,10,1373440,5
roberta-base@mnli-33,10618,182,1963.596037864685,12581.596037864685,4,883584.0,10
